#DoubleDribble      #1                           #2                        #3                       #4                        #5                         #6                        #7                        #8                         #9                       #10               #11                       #1                         #2                        #3                        #4                        #5
24.8 2.0 0.0 0.0    -50.27 -0.02272 4.719 0 0    -17.77 13.15 6.225 0 0    -21.5 -10.3 5.909 0 0    -27.27 -9.92 5.631 0 0    -14.89 -27.56 5.998 0 0    -18.03 10.93 5.376 0 0    -13.94 -1.984 5.25 0 0    -13.29 -26.27 1.216 0 0    21.81 24.665 5.858 0 0    22.0 2 0.0 0 0    28.33 -24.06 5.967 0 0    47.41 0.1111 0.2677 0 0    44.96 -29.933 5.294 0 0    43.82 29.7 6.015 0 0    45.33 -26.51 1.577 0 0    44.96 29.19 4.991 0 0    -5.945 -1.006 5.043 0 0    -4.298 -18.2 5.604 0 0    -6.059 10.64 0.606 0 0    -10.46 -27.83 3.791 0 0    -15.2 18.98 0.2677 0 0    -20.39 -9.975 5.566 0 0
#GoalieTackle08
#-34.5 11.5 -2.0 -1.0    -42 4.25 3 0 0    -16.91 23.96 0.4449 0 0    -19.92 1.46 0.5358 0 0    -23.88 -3.124 0.02911 0 0    -21.6 -17.03 6.174 0 0    -21.95 7.255 0.3885 0 0    -2.374 -3.336 0.5479 0 0    -22.54 -4.603 0.1213 0 0    4.963 16.19 0.7142 0 0    11.81 6.547 2.156 0 0    12.11 -5.81 5.291 0 0    49.66 2.041 1.609 0 0    13.75 2.525 0.5362 0 0    14.54 14.01 1.272 0 0    14.83 -8.176 1.635 0 0    12.78 20.4 0.1348 0 0    2.604 6.914 0.2982 0 0    -7.18 -7.471 0.3587 0 0    -6.745 11.17 0.7196 0 0    -12.02 -21.88 4.574 0 0    -17.58 25.51 0.5094 0 0    -22.07 0.37 0.4265 0 0
#-43.5 15.5 -1.5 -1.5    -46 8 3 0 0    -16.91 23.96 0.4449 0 0    -19.92 1.46 0.5358 0 0    -23.88 -3.124 0.02911 0 0    -21.6 -17.03 6.174 0 0    -21.95 7.255 0.3885 0 0    -2.374 -3.336 0.5479 0 0    -22.54 -4.603 0.1213 0 0    4.963 16.19 0.7142 0 0    11.81 6.547 2.156 0 0    12.11 -5.81 5.291 0 0    49.66 2.041 1.609 0 0    13.75 2.525 0.5362 0 0    14.54 14.01 1.272 0 0    14.83 -8.176 1.635 0 0    12.78 20.4 0.1348 0 0    2.604 6.914 0.2982 0 0    -7.18 -7.471 0.3587 0 0    -6.745 11.17 0.7196 0 0    -12.02 -21.88 4.574 0 0    -17.58 25.51 0.5094 0 0    -22.07 0.37 0.4265 0 0
#ScoreByTackling
#42 11.0 0.0 -2    -42 4 3 0 0    -17 24 0 0 0    -19.92 1.46 0.5358 0 0    -23.88 -3.124 0.02911 0 0    -21.6 -17.03 6.174 0 0    -21.95 7.255 0.3885 0 0    -2.374 -3.336 0.5479 0 0    -22.54 -4.603 0.1213 0 0    40.3 6 -1.5 0 0    11.81 6.547 2.156 0 0    12.11 -5.81 5.291 0 0    49.66 2.041 1.609 0 0    13.75 2.525 0.5362 0 0    14.54 14.01 1.272 0 0    14.83 -8.176 1.635 0 0    12.78 20.4 0.1348 0 0    2.604 6.914 0.2982 0 0    -7.18 -7.471 0.3587 0 0    -6.745 11.17 0.7196 0 0    -12.02 -21.88 4.574 0 0    -17.58 25.51 0.5094 0 0    -22.07 0.37 0.4265 0 0
#Test Communication Exploit
#-21.5 7.5 0.0 0.0    -42 4 3 0 0    -17 24 0 0 0    -19.92 1.46 0.5358 0 0    -23.88 -3.124 0.02911 0 0    -21.6 -17.03 6.174 0 0    -21.95 7.255 0.3885 0 0    -2.374 -3.336 0.5479 0 0    -22.54 -4.603 0.1213 0 0    40.3 6 0 0 0    11.81 6.547 2.156 0 0    12.11 -5.81 5.291 0 0    49.66 2.041 1.609 0 0    13.75 2.525 0.5362 0 0    14.54 14.01 1.272 0 0    14.83 -8.176 1.635 0 0    12.78 20.4 0.1348 0 0    2.604 6.914 0.2982 0 0    -7.18 -7.471 0.3587 0 0    -6.745 12.17 0.7196 0 0    -12.02 -21.88 4.574 0 0    -17.58 25.51 0.5094 0 0    -22.07 -6.37 0.4265 0 0
#WEscheisshausfliegen
#35.48 29.98 0.9622 -0.06345    -39.26 -0.2634 0.01274 0 0    3.976 22.38 5.987 0 0    1.532 15.55 0.3989 0 0    -0.931 12.8 3.66 0 0    4.338 -9.95 6.092 0 0    20.63 26.97 6.15 0 0    19.63 14.4 5.649 0 0    17.75 2.618 6.13 0 0    33.13 29.89 0.003601 0 0    26.88 10.75 0.2839 0 0    26.18 -7.083 6.226 0 0    34.78 -7.524 6.195 0 0    15.01 -2.757 1.175 0 0    4.536 -12.65 1.344 0 0    31.28 27.43 0.03563 0 0    25.87 28.05 5.15 0 0    5.672 19.36 4.079 0 0    35.9 -3.903 5.644 0 0    37.58 11.66 0.07707 0 0    15.57 14.92 1.408 0 0    5.559 9.248 4.659 0 0    49.49 8.152 3.538 0 0
